Time,Total arrivals
6/1/2014,1179400
7/1/2014,1594100
8/1/2014,1362400
9/1/2014,1381000
10/1/2014,1574500
11/1/2014,1342800
12/1/2014,1455600
1/1/2015,1780400
2/1/2015,1416000
3/1/2015,1388200
4/1/2015,1365400
5/1/2015,1215100
6/1/2015,1233600
7/1/2015,1646100
8/1/2015,1419500
9/1/2015,1456900
10/1/2015,1650400
11/1/2015,1424700
12/1/2015,1584200
1/1/2016,1908300
2/1/2016,1560100
3/1/2016,1479900
4/1/2016,1473700
5/1/2016,1304800
6/1/2016,1326800
7/1/2016,1829100
8/1/2016,1511500
9/1/2016,1587300
10/1/2016,1778900
11/1/2016,1512900
12/1/2016,1716300
1/1/2017,2066300
2/1/2017,1631400
3/1/2017,1522700
4/1/2017,1649800
5/1/2017,1401100
6/1/2017,1421100
7/1/2017,1909100
8/1/2017,1623600
9/1/2017,1666100
10/1/2017,1879600
11/1/2017,1602200
12/1/2017,1755100
1/1/2018,2130700
2/1/2018,1729200
3/1/2018,1682300
4/1/2018,1668300
5/1/2018,1480400
6/1/2018,1513000
7/1/2018,2009900
8/1/2018,1718600
9/1/2018,1722000
10/1/2018,1963700
11/1/2018,1668000
12/1/2018,1853600
